"","Marca","Submarca","Versión","Modelo","Trans.","Comb.","Cilindros","Potencia..HP.","Tamaño..L.","Categoría","R..Ciudad..km.l.","R..Carr...km.l.","R..Comb...km.l.","R..Ajust...km.l.","CO2.g.km.","NOx..g.1000km.","Calificación.Gas.Ef..Inv.","Calificación.Contam..Aire"
"977","MERCEDES","C180","CGI COUPE 2PTS 1.6L 4L 154HP AUT TURBO",2014,"AUT","Gasolina",4,154,1.6,"AUTOS DE LUJO",12.5,18.87,16.13,12.1,193,31,7,"?"
"978","MERCEDES","C180","CGI COUPE 2PTS 1.6L 4L 154HP MAN TURBO",2014,"MAN","Gasolina",4,154,1.6,"AUTOS DE LUJO",12.5,18.87,16.13,12.1,193,31,7,"?"
"979","BMW","220iA","COUPE 2PTS 2.0L 4CIL 184HP AUT TURBO",2016,"AUT","Gasolina",4,184,2,"AUTOS DE LUJO",12.5,20.83,16.63,12.48,187,36,7,"6"
"980","SUZUKI","KIZASHI","4PTAS 2.4L 4CIL 176HP CVT",2016,"CVT","Gasolina",4,176,2.4,"AUTOS DE LUJO",12.5,18,14.49,10.87,215,8,6,"9"
"981","SUZUKI","KIZASHI","4PTAS 2.4L 4CIL 176HP CVT",2015,"CVT","Gasolina",4,176,2.4,"AUTOS DE LUJO",12.5,18,14.49,10.87,215,8,6,"9"
"982","MERCEDES","CLA 250","COUPE SPORT 4PTAS 2.0L 4CIL 211HP AUT TURBO",2016,"AUT","Gasolina",4,211,2,"AUTOS DE LUJO",12.5,20.41,16.53,12.4,188,29,7,"?"
"983","MERCEDES","E 200","SEDAN 4PTAS 2.0L 4CIL 184HP AUT TURBO",2016,"AUT","Gasolina",4,184,2,"AUTOS DE LUJO",12.5,18.87,16.13,12.1,193,5,7,"9"
"984","MERCEDES","E 250","SEDAN 4PTAS 2.0L 4CIL 211HP AUT TURBO",2016,"AUT","Gasolina",4,211,2,"AUTOS DE LUJO",12.5,18.87,16.13,12.1,193,5,7,"9"
"985","MERCEDES","E 250","COUPE 2PTAS 2.0L 4CIL 211HP AUT TURBO",2016,"AUT","Gasolina",4,211,2,"AUTOS DE LUJO",12.5,19.23,16.23,12.17,192,37,7,"?"
"986","MERCEDES","CLA 250","CGI 4PTAS 2.0L 4CIL 211HP TURBO AUT",2018,"AUT","Gasolina",4,211,2,"AUTOS DE LUJO",12.5,20.41,16.53,12.4,188,29,7,"?"
"987","MERCEDES","E 200","COUPE 2PTAS 2.0L 4CIL 184HP TURBO AUT",2018,"AUT","Gasolina",4,184,2,"AUTOS DE LUJO",12.5,18.87,16.13,12.1,193,5,7,"9"
"988","MERCEDES","E 250","COUPE 2PTAS 2.0L 4CIL 211HP TURBO AUT",2018,"AUT","Gasolina",4,211,2,"AUTOS DE LUJO",12.5,18.87,16.13,12.1,193,5,7,"9"
"989","MERCEDES","E 250","SEDAN 4PTAS 2.0L 4CIL 211HP TURBO AUT",2018,"AUT","Gasolina",4,211,2,"AUTOS DE LUJO",12.5,18.87,16.13,12.1,193,5,7,"9"
"990","AUDI","TT","COUPÉ 2PTS 2.0L 4CIL 211HP STRONIC FRONT TURBO",2013,"STRONIC","Gasolina",4,211,2,"AUTOS DE LUJO",12.47,21.86,15.46,11.59,201,9,7,"9"
"991","AUDI","TT","ROADSTER 2PTS 2.0L 4CIL 211HP STRONIC FRONT TURBO",2013,"STRONIC","Gasolina",4,211,2,"AUTOS DE LUJO",12.47,21.86,15.46,11.59,201,9,7,"9"
"992","NISSAN","MAXIMA","EXCLUSIVE 4PTS 3.5L 6CIL 300HP CVT",2016,"CVT","Gasolina",6,300,3.5,"AUTOS DE LUJO",12.47,19.47,16.27,12.2,191,10,7,"9"
